.steps,.cases,.distance,.p_symptomatic,.p_death,.initial_infections,.incubation,.duration,R0
60,100,0.1,0.4,0.1,3,7,9,0.7736190476190477
60,100,0.15000000000000002,0.6,0.1,3,10,7,1.7581426485108889
60,100,0.2,0.6,0.1,3,5,5,2.4508240133734263
60,100,0.2,0.4,0.1,2,7,7,2.6951851666415396
60,100,0.1,0.4,0.1,2,5,7,0.43160919540229886
60,100,0.3,0.55,0.1,1,8,7,5.722769349144267
60,100,0.25,0.45,0.1,2,8,8,3.408925573145311
60,100,0.1,0.5,0.1,3,8,6,0.8978174603174603
60,100,0.15000000000000002,0.3,0.1,2,5,10,2.348611111111111
60,100,0.25,0.6,0.1,3,9,5,4.227005490561011
60,100,0.15000000000000002,0.55,0.1,1,5,7,0.3148148148148148
60,100,0.2,0.35,0.1,2,7,6,2.671416650747191
60,100,0.15000000000000002,0.3,0.1,2,10,7,1.602268896322689
60,100,0.15000000000000002,0.45,0.1,3,8,7,1.5586308629826442
60,100,0.3,0.6,0.1,2,6,6,5.535397277600798
60,100,0.2,0.55,0.1,2,8,5,2.4440476190476192
60,100,0.3,0.35,0.1,3,7,9,3.817042400561943
60,100,0.3,0.6,0.1,2,10,7,4.296280420459131
60,100,0.3,0.3,0.1,3,8,6,4.479921951761841
60,100,0.15000000000000002,0.5,0.1,1,10,9,0.9284656084656084
60,100,0.3,0.5,0.1,2,6,10,4.212008806246518
60,100,0.3,0.5,0.1,2,7,10,4.224567535410983
60,100,0.3,0.55,0.1,2,7,5,5.184507679167127
60,100,0.15000000000000002,0.5,0.1,1,7,9,1.9019403178014018
60,100,0.15000000000000002,0.55,0.1,2,7,5,1.759824985909082
60,100,0.3,0.5,0.1,1,10,6,3.7706197628235385
60,100,0.2,0.35,0.1,3,8,6,2.625583467367905
60,100,0.2,0.35,0.1,2,5,8,2.4962932854841253
60,100,0.15000000000000002,0.3,0.1,2,7,7,1.2183528498823477
60,100,0.3,0.35,0.1,1,7,7,4.91211961862108
60,100,0.15000000000000002,0.45,0.1,1,10,7,2.1246322694367126
60,100,0.15000000000000002,0.3,0.1,2,8,5,0.5666666666666667
60,100,0.15000000000000002,0.5,0.1,1,9,6,1.9216137566137566
60,100,0.25,0.55,0.1,1,7,5,3.4376853189136445
60,100,0.3,0.3,0.1,2,5,10,5.5229121770406255
60,100,0.25,0.5,0.1,1,10,7,4.346180563005087
60,100,0.15000000000000002,0.45,0.1,1,10,8,1.8954572036997959
60,100,0.1,0.3,0.1,2,5,5,0.8333333333333334
60,100,0.1,0.6,0.1,1,9,9,0.9575210503781932
60,100,0.2,0.3,0.1,1,10,5,2.738225299017405
60,100,0.1,0.4,0.1,1,5,10,0.821875
60,100,0.3,0.5,0.1,1,10,10,5.682501092068773
